Timestamp,Host,Status,LatencyMs
2026-08-29 07:21:43,1.1.1.1,UP,32
2026-08-29 07:22:01,8.8.8.8,UP,31
2026-08-29 07:30:42,192.168.1.1,DOWN,
2026-08-29 07:30:44,google.com,UP,55
2026-08-29 07:30:44,8.8.8.8,UP,52
2026-08-29 07:32:19,1.1.1.1,UP,34
2026-08-29 07:32:39,8.8.8.8,UP,166
2026-08-29 07:49:42,192.168.1.1,DOWN,
2026-08-29 07:49:44,google.com,UP,54
2026-08-29 07:49:44,8.8.8.8,UP,34
2026-08-29 07:55:40,1.1.1.1,UP,103
2026-08-29 07:56:03,8.8.8.8,UP,47
2026-08-29 07:57:03,192.168.1.1,DOWN,
2026-08-29 07:57:05,google.com,UP,56
2026-08-29 07:57:05,8.8.8.8,UP,36
2026-08-29 07:57:41,1.1.1.1,UP,51
2026-08-29 07:58:10,8.8.8.8,UP,40
2026-08-29 08:03:01,192.168.1.1,DOWN,
2026-08-29 08:03:03,google.com,UP,65
2026-08-29 08:03:03,8.8.8.8,UP,37
2026-08-29 08:03:37,1.1.1.1,UP,40
2026-08-29 08:04:03,8.8.8.8,UP,49
2026-08-29 08:37:28,192.168.1.1,DOWN,
2026-08-29 08:37:30,google.com,UP,77
2026-08-29 08:37:31,8.8.8.8,UP,48
2026-08-29 08:46:18,1.1.1.1,UP,152
2026-08-29 08:46:47,8.8.8.8,UP,0
2026-08-29 08:53:36,192.168.1.1,DOWN,
2026-08-29 08:53:38,google.com,UP,56
2026-08-29 08:53:38,8.8.8.8,UP,41
2026-08-29 08:54:09,1.1.1.1,UP,47
2026-08-29 08:54:39,8.8.8.8,UP,46
2026-08-29 08:55:39,192.168.1.1,DOWN,
2026-08-29 08:55:41,google.com,UP,52
2026-08-29 08:55:41,8.8.8.8,UP,56
2026-08-29 08:56:09,1.1.1.1,UP,39
2026-08-29 09:04:21,8.8.8.8,UP,284
2026-08-29 09:18:10,192.168.1.1,DOWN,
2026-08-29 09:18:12,google.com,UP,62
2026-08-29 09:18:12,8.8.8.8,UP,53
2026-08-29 09:18:38,1.1.1.1,UP,35
2026-08-29 09:19:13,8.8.8.8,UP,38
2026-08-29 09:30:09,192.168.1.1,DOWN,
2026-08-29 09:30:11,google.com,UP,54
2026-08-29 09:30:11,8.8.8.8,UP,32
2026-08-29 09:30:35,1.1.1.1,UP,52
2026-08-29 09:31:11,8.8.8.8,UP,43
2026-08-29 09:47:07,192.168.1.1,DOWN,
2026-08-29 09:47:09,google.com,UP,44
2026-08-29 09:47:09,8.8.8.8,UP,36
2026-08-29 10:03:42,1.1.1.1,UP,45
2026-08-29 10:04:20,8.8.8.8,UP,77
2026-08-29 10:05:21,192.168.1.1,DOWN,
2026-08-29 10:05:23,google.com,UP,81
2026-08-29 10:05:23,8.8.8.8,UP,51
2026-08-29 10:05:43,1.1.1.1,UP,39
2026-08-29 10:09:25,8.8.8.8,UP,143
2026-08-29 10:18:34,192.168.1.1,DOWN,
2026-08-29 10:18:36,google.com,UP,50
2026-08-29 10:18:36,8.8.8.8,UP,36
2026-08-29 10:18:54,1.1.1.1,UP,52
2026-08-29 10:19:36,8.8.8.8,UP,42
2026-08-29 10:21:09,192.168.1.1,DOWN,
2026-08-29 10:21:11,google.com,UP,49
2026-08-29 10:21:11,8.8.8.8,UP,57
2026-08-29 10:23:31,1.1.1.1,UP,31
2026-08-29 10:24:15,8.8.8.8,UP,45
2026-08-29 10:27:38,192.168.1.1,DOWN,
2026-08-29 10:27:40,google.com,UP,61
2026-08-29 10:27:40,8.8.8.8,UP,37
2026-08-29 10:27:54,1.1.1.1,UP,45
2026-08-29 10:41:42,8.8.8.8,UP,50
2026-08-29 10:52:43,192.168.1.1,DOWN,
2026-08-29 10:52:45,google.com,UP,52
2026-08-29 10:52:45,8.8.8.8,UP,39
2026-08-29 10:52:57,1.1.1.1,UP,39
2026-08-29 10:54:58,8.8.8.8,UP,50
2026-08-29 10:57:29,192.168.1.1,DOWN,
2026-08-29 10:57:31,google.com,UP,69
2026-08-29 10:57:32,8.8.8.8,UP,35
2026-08-29 10:57:42,1.1.1.1,UP,37
2026-08-29 10:58:32,8.8.8.8,UP,48
2026-08-29 11:05:07,192.168.1.1,DOWN,
2026-08-29 11:05:09,google.com,UP,67
2026-08-29 11:05:09,8.8.8.8,UP,50
2026-08-29 11:05:17,1.1.1.1,UP,45
2026-08-29 11:06:09,8.8.8.8,UP,41
2026-08-29 11:08:59,192.168.1.1,DOWN,
2026-08-29 11:09:01,google.com,UP,72
2026-08-29 11:09:01,8.8.8.8,UP,36
2026-08-29 11:09:08,1.1.1.1,UP,72
2026-08-29 11:11:17,8.8.8.8,UP,39
2026-08-29 11:18:11,192.168.1.1,DOWN,
2026-08-29 11:18:13,google.com,UP,73
2026-08-29 11:18:13,8.8.8.8,UP,50
2026-08-29 11:18:17,1.1.1.1,UP,52
2026-08-29 11:19:57,8.8.8.8,UP,61
2026-08-29 11:24:01,192.168.1.1,DOWN,
